,Unnamed: 0,pid,hid,cid,syear,jl0058,jl0059_h,jl0061,jl0062,jl0063,jl0064,jl0065,jl0066,jl0067,jl0068,jl0069,jl0070,jl0071,jl0072,jl0073,jl0074,jl0105_h,jl0125_v3,jl0127_h,jl0139,jl0140,jl0141,jl0142,jl0143,jl0144,jl0145,jl0146,jl0151,jl0164,jl0176_h,jl0218,jl0219,jl0233,jl0272,trust,rely_none,distrust_stranger,jl0367,jl0371,jl0376,jl0379,jl0388,jl0392,sex,gebjahr,psample,migback,State,bet3year,fsedu,msedu,fprofedu,mprofedu,freli,mreli,fegp88,living1,mprofstat,Age,Gymnasium,year_hgsch_entry,Treat,rely_someone,trust_stranger,trust_var,std_trust_var,std_trust
0,0,604,60.0,60,2007.0,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[5] Nie,[2] Jede Woche,[5] Nie,[4] Seltener,[1] Taeglich,[2] Jede Woche,[4] Seltener,[5] Nie,[5] Nie,[5] Nie,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[6] Niemand/Außer mir niemand,[1] sehr gut,184.0,1990.0,[2] Mittelgrosse Stadt,5,2,7,[4] 4 auf Skala 1-7,"[7] 7 Trifft voll zu, (Skala 1-7)",[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[-1] keine Angabe,[-1] keine Angabe,[1] maennlich,1990.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[5] Nordrhein-Westfalen,2001.0,[-1] keine Angabe,[4] Abitur,[-1] keine Angabe,"[32] Hochsch.,Universit.",[-1] keine Angabe,[2] Evangelisch,[-1] keine Angabe,15.0,"[421] Freiberuf.,Akademiker o.Mitarb;seit 2000",17.0,1,2001.0,0,6,1,12,-0.12358523687450856,0.4521773154559709
7,7,9804,981.0,981,2009.0,[2] Jede Woche,[5] Nie,[1] Taeglich,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[3] Jeden Monat,[1] Taeglich,[2] Jede Woche,[-1] keine Angabe,[1] Taeglich,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[4] Seltener,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[1] in freiwilliger AG,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[2] gut,169.0,1992.0,[1] Grosstadt,3,6,7,[6] 6 auf Skala 1-7,[2] 2 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[1] Sehr stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1992.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[11] Berlin,2002.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[32] Hochsch.,Universit.",[1] Katholisch,[2] Evangelisch,[1] (I) Higher Managerial and Professional Workers,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2002.0,0,2,1,6,-1.9215612723217603,-0.9709834075271422
8,8,9805,981.0,981,2011.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[1] Taeglich,[1] Taeglich,[3] Jeden Monat,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[4] Seltener,[2] Jede Woche,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[1] sehr gut,185.0,1994.0,[1] Grosstadt,4,4,6,[3] 3 auf Skala 1-7,[2] 2 auf Skala 1-7,[2] 2 auf Skala 1-7,[5] 5 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1994.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[11] Berlin,2004.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.","[32] Hochsch.,Universit.",[1] Katholisch,[2] Evangelisch,[1] (I) Higher Managerial and Professional Workers,[-2] trifft nicht zu,[530] mit qualifizierter Taetigkeit,17.0,1,2004.0,0,4,2,10,-0.7229105820235925,-0.2594030460355856
16,16,13407,1341.0,1341,2009.0,[1] Taeglich,[5] Nie,[1] Taeglich,[5] Nie,[1] Taeglich,[5] Nie,[5] Nie,[4] Seltener,[1] Taeglich,[4] Seltener,[4] Seltener,[4] Seltener,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[4] keine Empfehlung,[2] Nein,[6] Niemand/Außer mir niemand,[1] sehr gut,183.0,1992.0,[4] Auf dem Land,5,1,1,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,[4] 4 auf Skala 1-7,[4] Ueberhaupt nicht,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1992.0,[1] A 1984 Ausgangs-Sample (West),[1] kein Migrationshintergrund,[9] Bayern,2002.0,[2] Realschule,[2] Realschule,"[27] FS,Techn.-o.Meisters","[27] FS,Techn.-o.Meisters",[6] konfessionslos,[1] Katholisch,[8] (VI) Skilled Manual Workers,15.0,[210] ungelernter Arbeiter,17.0,1,2002.0,0,7,7,19,1.974053471147285,0.4521773154559709
19,19,13904,1392.0,1392,2011.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[5] Nie,[2] Jede Woche,[5] Nie,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[5] Nie,[5] Nie,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,170.0,1994.0,[4] Auf dem Land,4,5,7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)","[7] 7 Trifft voll zu, (Skala 1-7)","[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[5] 5 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1994.0,[1] A 1984 Ausgangs-Sample (West),[1] kein Migrationshintergrund,[9] Bayern,-2.0,[2] Realschule,[2] Realschule,[24] Gewerbl.o.Lw.Lehre,[26] Schule Gesundheitsw.,[6] konfessionslos,[6] konfessionslos,[4] (IIIb) Routine Service and Sales Work,15.0,[10] nicht erw.taetig,17.0,1,2004.0,1,3,1,8,-1.3222359271726765,-0.2594030460355856
20,20,1057003,105708.0,1481,2017.0,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[5] Nie,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[2] Jede Woche,[-1] keine Angabe,[2] Jede Woche,[-1] keine Angabe,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,168.0,2000.0,[1] Grosstadt,5,2,5,[2] 2 auf Skala 1-7,[2] 2 auf Skala 1-7,[6] 6 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2000.0,[1] A 1984 Ausgangs-Sample (West),[1] kein Migrationshintergrund,[11] Berlin,2012.0,[4] Abitur,[2] Realschule,"[27] FS,Techn.-o.Meisters",[24] Gewerbl.o.Lw.Lehre,[6] konfessionslos,[1] Katholisch,[3] (IIIa) Routine Clerical Work,15.0,"[540] hochqualif.,Leitungsfunktion",17.0,1,2012.0,1,6,3,14,0.47574010827457536,0.4521773154559709
22,22,950104,95010.0,1660,2012.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[4] Seltener,[3] Jeden Monat,[4] Seltener,[4] Seltener,[2] Jede Woche,[4] Seltener,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[2] Jede Woche,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[2] gut,175.0,1995.0,[1] Grosstadt,4,3,3,[2] 2 auf Skala 1-7,[2] 2 auf Skala 1-7,[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1995.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[11] Berlin,-2.0,[4] Abitur,[2] Realschule,[20] beruflicheAusbildung,[24] Gewerbl.o.Lw.Lehre,[3] Andere christl. RG,[6] konfessionslos,[2] (II) Lower Managerial and Professional Workers,6.0,"[432] sonstige, 1-9 Mitarb. ;ab 1997",17.0,1,2007.0,1,5,5,14,0.47574010827457536,-0.2594030460355856
23,23,950105,95010.0,1660,2015.0,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[5] Nie,[-1] keine Angabe,[5] Nie,[2] Jede Woche,[4] Seltener,[2] Jede Woche,[1] Taeglich,[3] Jeden Monat,[4] Seltener,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[2] Die meisten,[2] gut,188.0,1998.0,[1] Grosstadt,1,6,7,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[3] Nicht so stark,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[1] maennlich,1998.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[11] Berlin,2008.0,[4] Abitur,[2] Realschule,"[32] Hochsch.,Universit.",[24] Gewerbl.o.Lw.Lehre,[5] sonstige RG,[6] konfessionslos,[1] (I) Higher Managerial and Professional Workers,0.0,"[432] sonstige, 1-9 Mitarb. ;ab 1997",17.0,1,2008.0,1,2,1,4,-2.520886617470844,-2.3941441305102553
24,24,1061603,106160.0,1708,2015.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[4] Seltener,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[3] Jeden Monat,[2] Jede Woche,[-1] keine Angabe,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,195.0,1998.0,[1] Grosstadt,6,1,7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[6] 6 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1998.0,[1] A 1984 Ausgangs-Sample (West),[3] indirekter Migrationshintergrund,[11] Berlin,2011.0,[0] Weiss nicht,[4] Abitur,[10] Keine abg.Ausbildung,[40] Sonstige Ausbildung,[6] konfessionslos,[1] Katholisch,[-1] keine Angabe,3.0,"[431] sonstige, ohne Mitarb. ;ab 1997",17.0,1,2011.0,1,7,1,14,0.47574010827457536,1.1637576769475273
29,29,19204,1929.0,1929,2008.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[5] Nie,[2] Jede Woche,[4] Seltener,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[3] Jeden Monat,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[1] als SchulsprecherIn,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,176.0,1991.0,[4] Auf dem Land,5,2,4,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[2] Stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1991.0,[1] A 1984 Ausgangs-Sample (West),[1] kein Migrationshintergrund,[3] Niedersachsen,2003.0,[4] Abitur,[3] Fachoberschule,"[32] Hochsch.,Universit.","[27] FS,Techn.-o.Meisters",[1] Katholisch,[1] Katholisch,[11] (IVc) Self-Employed Farmers,15.0,"[433] sonstige, 10 u. m. Mitarb. ;ab 1997",17.0,1,2003.0,1,6,4,15,0.7754027808491173,0.4521773154559709
