,level_0,index,pid,hid,cid,syear,jl0058,jl0059_h,jl0061,jl0062,jl0063,jl0064,jl0065,jl0066,jl0067,jl0068,jl0069,jl0070,jl0071,jl0072,jl0073,jl0074,jl0105_h,jl0125_v3,jl0127_h,jl0139,jl0140,jl0141,jl0142,jl0143,jl0144,jl0145,jl0146,jl0151,jl0164,migration_classmate,jl0218,jl0219,jl0233,jl0272,trust,rely_none,distrust_stranger,jl0367,jl0371,jl0376,jl0379,jl0388,jl0392,sex,gebjahr,psample,migback,State,bet3year,father_educ1,mother_educ1,father_educ2,mother_educ2,father_reli,mother_reli,work_father,single_parent,work_mother,Age,Gymnasium,year_hgsch_entry,Treat,rely_someone,trust_stranger,trust_var,std_trust_var,std_trust,female,rural,East,migration_backgrnd,low_performing,highest_educ_hh,reli_hh
0,7,7,9804,981,981,2009,2,5,1,4,2,2,3,1,2,-1,1,2,5,3,4,1,1,3,-2,1,-2,-2,1,1,1,1,-2,3,2,1,2,169,1992,1,3,6,7,6,2,3,5,1,8,2,1992,1,3,11.0,2002.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,17,1,2002.0,0,2,1,6,-1.919713586300653,-0.8972137116679668,1,0,1,1,0,1,1
1,20,20,1057003,105708,1481,2017,2,1,2,5,2,5,3,2,2,-1,2,-1,5,5,4,2,1,3,-2,1,-2,-2,-2,-2,1,-2,-2,3,2,1,2,168,2000,1,5,2,5,2,2,6,6,3,7,1,2000,1,1,11.0,2012.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,1,2012.0,1,6,3,14,0.4624602578571101,0.4574168883523255,0,0,1,1,0,1,1
2,22,22,950104,95010,1660,2012,1,4,1,4,3,4,4,2,4,5,2,2,5,2,4,2,1,3,-2,1,-2,-2,-2,-2,-2,1,-2,3,2,1,2,175,1995,1,4,3,3,2,2,4,6,3,7,2,1995,1,3,11.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17,1,2007.0,1,5,5,14,0.4624602578571101,-0.21989841165782062,1,0,1,1,0,1,0
3,23,23,950105,95010,1660,2015,1,2,1,5,-1,5,2,4,2,1,3,4,5,5,5,2,2,3,-2,1,-2,-2,1,-2,-2,-2,-2,3,2,1,2,188,1998,1,1,6,7,6,5,4,4,3,10,1,1998,1,3,11.0,2008.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17,1,2008.0,1,2,1,4,-2.5152570473400937,-2.2518443116882594,0,0,1,1,0,1,0
4,49,49,883103,88315,2429,2011,1,1,1,2,2,5,3,1,5,1,1,1,5,2,4,1,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,3,2,1,1,169,1994,2,4,3,7,1,2,4,7,3,10,2,1994,1,1,3.0,2005.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2005.0,1,5,1,10,-0.7286266642217715,-0.21989841165782062,1,0,0,1,0,1,1
5,55,55,29403,2941,2941,2007,1,5,1,5,2,5,5,1,4,-1,2,2,4,5,4,2,1,3,-2,-2,-2,-2,1,-2,-2,-2,-2,3,2,0,2,168,1990,3,4,4,-1,3,6,6,4,1,6,2,1990,1,1,1.0,2001.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2001.0,0,4,9,17,1.3557754494162713,-0.21989841165782062,1,0,0,1,0,0,1
6,56,56,29404,2941,2941,2009,2,4,1,5,2,5,5,2,2,2,1,3,4,2,4,2,1,3,-2,1,-2,1,1,-2,-2,-2,-2,3,2,0,2,175,1992,3,4,2,6,-1,-1,-1,-1,3,-1,2,1992,1,1,1.0,2003.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17,1,2003.0,0,6,2,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,0,1
7,59,59,945803,122840,3204,2012,1,5,1,5,1,1,5,2,2,5,2,2,4,4,5,2,1,3,-2,1,-2,-2,-2,1,-2,1,-2,3,2,1,1,173,1995,2,3,3,7,4,2,1,5,3,8,2,1995,1,1,5.0,2006.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,17,1,2006.0,1,5,1,9,-1.0263983947414919,-0.8972137116679668,1,0,0,1,0,1,0
8,73,73,41605,4162,4162,2006,1,4,1,4,2,2,3,1,2,2,2,2,5,2,4,2,1,3,-2,-2,-2,-2,1,1,-2,1,-2,3,2,1,1,161,1989,-1,4,3,5,6,5,4,6,3,8,2,1989,1,3,5.0,1999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17,1,1999.0,0,5,3,12,-0.13308320318233066,-0.21989841165782062,1,0,0,1,0,1,1
9,77,77,821803,82180,4472,2013,1,4,2,5,1,2,5,1,4,1,2,2,5,5,5,2,1,3,-2,-2,-2,-2,-2,-2,1,-2,-2,3,2,1,2,172,1996,3,3,5,5,5,3,6,1,2,8,2,1996,1,1,1.0,2006.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,1,2006.0,0,3,3,9,-1.0263983947414919,-0.8972137116679668,1,0,0,1,0,1,0
